,year_week,WHO_label,percentage
259,2021-19,Epsilon,0.0
260,2021-19,Gamma,2.73
261,2021-19,Lambda,0.24
262,2021-19,Mu,3.53
263,2021-19,Other,1.02
264,2021-20,Alpha,58.05
265,2021-20,Beta,1.2
266,2021-20,Delta,1.1
267,2021-20,Epsilon,0.0
268,2021-20,Gamma,3.18
269,2021-20,Lambda,0.26
270,2021-20,Mu,3.51
271,2021-20,Other,1.26
272,2021-21,Alpha,52.82
273,2021-21,Beta,1.42
274,2021-21,Delta,2.0
275,2021-21,Epsilon,0.0
276,2021-21,Gamma,3.8
277,2021-21,Lambda,0.44
278,2021-21,Mu,5.54
279,2021-21,Other,1.13
280,2021-22,Alpha,50.4
281,2021-22,Beta,1.11
282,2021-22,Delta,2.04
283,2021-22,Epsilon,0.06
284,2021-22,Gamma,2.92
285,2021-22,Lambda,0.51
286,2021-22,Mu,5.43
287,2021-22,Other,1.36
288,2021-23,Alpha,46.46
289,2021-23,Beta,3.06
290,2021-23,Delta,3.86
291,2021-23,Epsilon,0.0
292,2021-23,Gamma,3.27
293,2021-23,Lambda,0.61
294,2021-23,Mu,3.61
295,2021-23,Other,1.46
296,2021-24,Alpha,40.28
297,2021-24,Beta,2.26
298,2021-24,Delta,6.46
299,2021-24,Epsilon,0.03
300,2021-24,Gamma,3.03
301,2021-24,Lambda,0.82
302,2021-24,Mu,4.61
303,2021-24,Other,1.4
304,2021-25,Alpha,30.75
305,2021-25,Beta,5.37
306,2021-25,Delta,11.22
307,2021-25,Epsilon,0.0
308,2021-25,Gamma,1.67
309,2021-25,Lambda,0.56
310,2021-25,Mu,3.35
311,2021-25,Other,0.87
312,2021-26,Alpha,18.37
313,2021-26,Beta,14.09
314,2021-26,Delta,13.82
315,2021-26,Epsilon,0.0
316,2021-26,Gamma,0.89
317,2021-26,Lambda,0.7
318,2021-26,Mu,1.9
319,2021-26,Other,0.65
320,2021-27,Alpha,13.48
321,2021-27,Beta,7.1
322,2021-27,Delta,17.83
323,2021-27,Epsilon,0.0
324,2021-27,Gamma,0.69
325,2021-27,Lambda,0.44
326,2021-27,Mu,1.46
327,2021-27,Other,0.81
328,2021-28,Alpha,7.07
329,2021-28,Beta,3.69
330,2021-28,Delta,18.64
331,2021-28,Epsilon,0.0
332,2021-28,Gamma,0.51
333,2021-28,Lambda,0.38
334,2021-28,Mu,1.59
335,2021-28,Other,0.57
336,2021-29,Alpha,5.17
337,2021-29,Beta,3.8
338,2021-29,Delta,19.42
339,2021-29,Epsilon,0.0
340,2021-29,Gamma,0.27
341,2021-29,Lambda,0.19
342,2021-29,Mu,0.78
343,2021-29,Other,0.36
344,2021-30,Alpha,2.15
345,2021-30,Beta,1.28
346,2021-30,Delta,21.0
347,2021-30,Epsilon,0.0
348,2021-30,Gamma,0.2
349,2021-30,Lambda,0.19
350,2021-30,Mu,0.67
351,2021-30,Other,0.26
352,2021-31,Alpha,1.16
353,2021-31,Beta,0.66
354,2021-31,Delta,24.18
355,2021-31,Epsilon,0.0
356,2021-31,Gamma,0.17
357,2021-31,Lambda,0.11
358,2021-31,Mu,0.72
359,2021-31,Other,0.29
360,2021-32,Alpha,0.68
361,2021-32,Beta,0.46
362,2021-32,Delta,24.38
363,2021-32,Epsilon,0.0
364,2021-32,Gamma,0.16
365,2021-32,Lambda,0.15
366,2021-32,Mu,0.38
367,2021-32,Other,0.32
368,2021-33,Alpha,0.3
369,2021-33,Beta,0.15
370,2021-33,Delta,21.81
371,2021-33,Epsilon,0.0
372,2021-33,Gamma,0.1
373,2021-33,Lambda,0.12
374,2021-33,Mu,0.21
375,2021-33,Other,0.28
376,2021-34,Alpha,0.15
377,2021-34,Beta,0.16
